,Player,Year,current_stats,curr_gp,curr_record,prev_stats,prev_gp,prev_record,playoff_stats
0,Stephen Curry,2016,44.620000000000005,79,0.8902439024390244,38.2,80,0.8170731707317073,41.980000000000004
1,Kobe Bryant,2016,25.400000000000002,66,0.2073170731707317,35.86,35,0.25609756097560976,0.0
2,Kawhi Leonard,2016,32.48,72,0.8170731707317073,28.14,64,0.6707317073170732,32.3
3,Kevin Durant,2016,44.04,72,0.6707317073170732,38.239999999999995,27,0.5487804878048781,0.0
4,Russell Westbrook,2016,45.34,80.0,0.6707317073170732,47.18,67.0,0.5487804878048781,0.0
5,James Harden,2016,45.32,82.0,0.5,42.64,81.0,0.6829268292682927,43.04
6,Klay Thompson,2016,29.18,80,0.8902439024390244,29.02,77,0.8170731707317073,26.400000000000002
7,Chris Paul,2016,36.54,74.0,0.6463414634146342,36.86,82.0,0.6829268292682927,37.94
8,Anthony Davis,2016,38.94,61.0,0.36585365853658536,39.279999999999994,68.0,0.5487804878048781,47.1
9,LaMarcus Aldridge,2016,30.0,74.0,0.8170731707317073,37.67999999999999,71.0,0.6219512195121951,37.4
10,Draymond Green,2016,34.28,81,0.8902439024390244,25.979999999999997,79,0.8170731707317073,32.06
11,DeMarcus Cousins,2016,44.66,65,0.4024390243902439,43.66,59,0.35365853658536583,0.0
12,Kyle Lowry,2016,34.52,77.0,0.6829268292682927,31.6,70.0,0.5975609756097561,24.660000000000004
13,Paul George,2016,36.42,81.0,0.5487804878048781,14.440000000000001,6.0,0.4634146341463415,0.0
14,Carmelo Anthony,2016,36.08,72.0,0.3902439024390244,35.839999999999996,40.0,0.2073170731707317,0.0
15,Dwyane Wade,2016,29.439999999999998,74.0,0.5853658536585366,31.46,62.0,0.45121951219512196,0.0
16,LeBron James,2016,42.34,76.0,0.6951219512195121,41.379999999999995,69.0,0.6463414634146342,53.86
17,John Wall,2016,38.019999999999996,77,0.5,35.120000000000005,79,0.5609756097560976,37.32
18,Paul Millsap,2016,31.86,81.0,0.5853658536585366,29.78,73.0,0.7317073170731707,29.72
19,Isaiah Thomas,2016,33.239999999999995,82.0,0.5853658536585366,24.2,67.0,0.4878048780487805,29.5
20,DeMar DeRozan,2016,33.7,78.0,0.6829268292682927,29.82,60.0,0.5975609756097561,34.82
21,Andre Drummond,2016,34.92,81.0,0.5365853658536586,30.84,82.0,0.3902439024390244,0.0
22,Pau Gasol,2016,34.62,72,0.5121951219512195,35.9,78,0.6097560975609756,29.4
23,Al Horford,2016,27.799999999999997,82.0,0.5853658536585366,27.68,76.0,0.7317073170731707,29.16
24,Anthony Davis,2017,44.68,75.0,0.4146341463414634,38.94,61.0,0.36585365853658536,0.0
25,James Harden,2017,52.26,81.0,0.6707317073170732,45.32,82.0,0.5,41.96
26,Stephen Curry,2017,38.62,79,0.8170731707317073,44.620000000000005,79,0.8902439024390244,37.94
27,Kevin Durant,2017,40.82,62,0.8170731707317073,44.04,72,0.6707317073170732,40.879999999999995
28,Kawhi Leonard,2017,36.66,74,0.7439024390243902,32.48,72,0.8170731707317073,33.42
29,Marc Gasol,2017,32.58,74,0.524390243902439,29.560000000000002,52,0.5121951219512195,0.0
30,Russell Westbrook,2017,56.92,81.0,0.573170731707317,45.34,80.0,0.6707317073170732,47.48
31,Klay Thompson,2017,29.26,78,0.8170731707317073,29.18,80,0.8902439024390244,31.5
32,Gordon Hayward,2017,32.58,73.0,0.6219512195121951,30.14,80.0,0.4878048780487805,0.0
33,Draymond Green,2017,28.08,76,0.8170731707317073,34.28,81,0.8902439024390244,34.48
34,DeAndre Jordan,2017,30.7,81.0,0.6219512195121951,30.7,77.0,0.6463414634146342,33.42
35,DeMarcus Cousins,2017,45.72,72,0.4146341463414634,44.66,65,0.4024390243902439,0.0
36,DeMar DeRozan,2017,38.22,74.0,0.6219512195121951,33.7,78.0,0.6829268292682927,29.18
37,Giannis Antetokounmpo,2017,39.94,80,0.5121951219512195,31.299999999999997,80,0.4024390243902439,0.0
38,Kyrie Irving,2017,36.0,72.0,0.6219512195121951,28.840000000000003,53.0,0.6951219512195121,34.44
39,LeBron James,2017,47.16,74.0,0.6219512195121951,42.34,76.0,0.6951219512195121,46.82
40,Jimmy Butler,2017,37.94,76.0,0.5,33.019999999999996,67.0,0.5121951219512195,0.0
41,Kyle Lowry,2017,36.56,60.0,0.6219512195121951,34.52,77.0,0.6829268292682927,31.939999999999998
42,Paul Millsap,2017,31.78,69.0,0.524390243902439,31.86,81.0,0.5853658536585366,31.22
43,LeBron James,2018,48.739999999999995,82.0,0.6097560975609756,47.16,74.0,0.6219512195121951,53.08
44,Kevin Durant,2018,41.04,68,0.7073170731707317,40.82,62,0.8170731707317073,43.14
45,Russell Westbrook,2018,49.879999999999995,80.0,0.5853658536585366,56.92,81.0,0.573170731707317,64.28
46,Kyrie Irving,2018,35.08,60.0,0.6707317073170732,36.0,72.0,0.6219512195121951,35.62
47,Anthony Davis,2018,44.18,75.0,0.5853658536585366,44.68,75.0,0.4146341463414634,0.0
48,Paul George,2018,32.699999999999996,79.0,0.5853658536585366,35.58,75.0,0.5121951219512195,47.32
49,Andre Drummond,2018,37.8,78.0,0.47560975609756095,31.479999999999997,81.0,0.45121951219512196,0.0
50,Bradley Beal,2018,33.28,82,0.524390243902439,31.02,77,0.5975609756097561,32.12
51,Victor Oladipo,2018,34.5,75.0,0.5853658536585366,24.18,67.0,0.573170731707317,19.92
