,Player,Year,current_stats,curr_gp,curr_record,prev_stats,prev_gp,prev_record,playoff_stats
0,Damian Lillard,2016,38.06,75,0.5365853658536586,33.96,82,0.6219512195121951,31.92
1,Blake Griffin,2016,37.36,35,0.6463414634146342,37.379999999999995,67,0.6829268292682927,48.059999999999995
2,Jimmy Butler,2016,33.019999999999996,67.0,0.5121951219512195,30.92,65.0,0.6097560975609756,33.46
3,Karl-Anthony Towns,2016,33.3,82,0.35365853658536583,0.0,0,0.0,0.0
4,Eric Bledsoe,2016,32.519999999999996,31.0,0.2804878048780488,30.560000000000002,81.0,0.47560975609756095,0.0
5,Kemba Walker,2016,32.42,81.0,0.5853658536585366,27.619999999999997,62.0,0.4024390243902439,0.0
6,Brook Lopez,2016,32.36,73.0,0.25609756097560976,26.919999999999998,72.0,0.4634146341463415,31.560000000000002
7,Nikola Vučević,2016,32.239999999999995,65.0,0.4268292682926829,34.78,74.0,0.3048780487804878,0.0
8,Rajon Rondo,2016,33.14,72.0,0.4024390243902439,24.979999999999997,68.0,0.6097560975609756,14.3
9,Giannis Antetokounmpo,2016,31.299999999999997,80,0.4024390243902439,23.86,81,0.5,23.14
10,Gordon Hayward,2016,30.14,80.0,0.4878048780487805,30.1,76.0,0.4634146341463415,0.0
11,CJ McCollum,2016,29.8,80.0,0.5365853658536586,9.8,62.0,0.6219512195121951,22.28
12,Kevin Love,2016,30.759999999999998,77.0,0.6951219512195121,30.679999999999996,75.0,0.6463414634146342,25.700000000000003
13,Reggie Jackson,2016,30.08,79.0,0.5365853658536586,26.74,77.0,0.3902439024390244,0.0
14,DeAndre Jordan,2016,30.7,77.0,0.6463414634146342,30.34,82.0,0.6829268292682927,30.5
15,Marc Gasol,2016,29.560000000000002,52,0.5121951219512195,31.32,81,0.6707317073170732,37.46
16,Kyrie Irving,2016,28.840000000000003,53.0,0.6951219512195121,31.78,75.0,0.6463414634146342,27.880000000000003
17,Danilo Gallinari,2016,28.86,53,0.4024390243902439,18.52,59,0.36585365853658536,0.0
18,Tyreke Evans,2016,29.36,25.0,0.36585365853658536,30.88,79.0,0.5487804878048781,22.0
19,Dwight Howard,2016,29.54,71.0,0.5,29.84,41.0,0.6829268292682927,34.64
20,Nicolas Batum,2016,29.18,70.0,0.5853658536585366,22.24,71.0,0.6219512195121951,30.759999999999998
21,Dirk Nowitzki,2016,28.26,75,0.5121951219512195,26.660000000000004,77,0.6097560975609756,36.56
22,Karl-Anthony Towns,2017,43.1,82,0.3780487804878049,33.3,82,0.35365853658536583,0.0
23,Damian Lillard,2017,39.96,75,0.5,38.06,75,0.5365853658536586,39.22
24,Blake Griffin,2017,37.2,61,0.6219512195121951,37.36,35,0.6463414634146342,30.36
25,Chris Paul,2017,35.14,61.0,0.6219512195121951,36.54,74.0,0.6463414634146342,37.36
26,Eric Bledsoe,2017,34.42,66.0,0.2926829268292683,32.519999999999996,31.0,0.2804878048780488,0.0
27,Kevin Love,2017,34.6,60.0,0.6219512195121951,30.759999999999998,77.0,0.6951219512195121,27.78
28,Hassan Whiteside,2017,34.76,77,0.5,28.84,73,0.5853658536585366,25.44
29,Nikola Jokić,2017,34.34,73,0.4878048780487805,21.28,80,0.4024390243902439,0.0
30,Mike Conley,2017,32.26,69.0,0.524390243902439,26.1,56.0,0.5121951219512195,0.0
31,CJ McCollum,2017,31.64,80.0,0.5,29.8,80.0,0.5365853658536586,28.78
32,Joel Embiid,2017,32.08,31,0.34146341463414637,0.0,0,0.0,0.0
33,Goran Dragić,2017,31.82,73.0,0.5,25.619999999999997,72.0,0.5853658536585366,27.060000000000002
34,Andrew Wiggins,2017,31.16,82.0,0.3780487804878049,27.419999999999998,81.0,0.35365853658536583,0.0
35,Bradley Beal,2017,31.02,77,0.5975609756097561,24.959999999999997,55,0.5,0.0
36,Jabari Parker,2017,30.9,51.0,0.5121951219512195,22.38,76.0,0.4024390243902439,0.0
37,Jusuf Nurkić,2017,21.119999999999997,65.0,0.5,16.36,32.0,0.4024390243902439,0.0
38,Devin Booker,2017,30.02,78,0.2926829268292683,19.92,76,0.2804878048780488,0.0
39,Andre Drummond,2017,31.479999999999997,81.0,0.45121951219512196,34.92,81.0,0.5365853658536586,27.6
40,Brook Lopez,2017,29.740000000000002,75.0,0.24390243902439024,32.36,73.0,0.25609756097560976,0.0
41,Rudy Gobert,2017,30.8,81.0,0.6219512195121951,24.1,61.0,0.4878048780487805,0.0
42,Nikola Vučević,2017,30.439999999999998,75.0,0.35365853658536583,32.239999999999995,65.0,0.4268292682926829,0.0
43,Rudy Gay,2017,29.619999999999997,30.0,0.3902439024390244,27.04,70.0,0.4024390243902439,0.0
44,Dwight Howard,2017,30.419999999999998,74.0,0.524390243902439,29.54,71.0,0.5,31.919999999999998
45,Dennis Schröder,2017,29.18,79.0,0.524390243902439,19.4,80.0,0.5853658536585366,18.299999999999997
46,DeMarcus Cousins,2018,47.16,48,0.5853658536585366,45.72,72,0.4146341463414634,0.0
47,Blake Griffin,2018,37.239999999999995,58,0.47560975609756095,37.2,61,0.6219512195121951,30.26
48,Nikola Jokić,2018,38.66,75,0.5609756097560976,34.34,73,0.4878048780487805,0.0
49,Devin Booker,2018,35.94,54,0.25609756097560976,30.02,78,0.2926829268292683,0.0
50,John Wall,2018,35.36,41,0.524390243902439,40.980000000000004,78,0.5975609756097561,44.0
51,Jimmy Butler,2018,34.44,59.0,0.573170731707317,37.94,76.0,0.5,36.62
52,Ben Simmons,2018,35.36,81,0.6341463414634146,0.0,0,0.0,0.0
53,Chris Paul,2018,34.56,58.0,0.7926829268292683,35.14,61.0,0.6219512195121951,43.18
54,Kristaps Porziņģis,2018,32.06,48,0.35365853658536583,28.54,66,0.3780487804878049,0.0
55,Dwight Howard,2018,33.16,81.0,0.43902439024390244,30.419999999999998,74.0,0.524390243902439,22.4
56,Tyreke Evans,2018,31.759999999999998,52.0,0.2682926829268293,18.1,40.0,0.3902439024390244,0.0
57,Jrue Holiday,2018,31.6,81.0,0.5853658536585366,28.84,67.0,0.4146341463414634,0.0
58,Marc Gasol,2018,31.96,73,0.2682926829268293,32.58,74,0.524390243902439,32.14
59,Khris Middleton,2018,31.14,82.0,0.5365853658536586,23.82,29.0,0.5121951219512195,26.5
60,Nikola Vučević,2018,31.619999999999997,57.0,0.3048780487804878,30.439999999999998,75.0,0.35365853658536583,0.0
61,CJ McCollum,2018,30.28,81.0,0.5975609756097561,31.64,80.0,0.5,30.9
